Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Total Funding Amount
iguazio,https://www.crunchbase.com/organization/iguaz-io,"Analytics, Big Data, Cloud Data Services, Internet of Things, PaaS, Software","Herzliya, Tel Aviv, Israel","iguazio's Continuous Analytics Data Platform has redesigned the data stack to accelerate performance in big data, IoT and cloud-native apps.",402,"$48,000,000"
AppDynamics,https://www.crunchbase.com/organization/appdynamics,"Business Intelligence, Information Services, Information Technology","San Francisco, California, United States",AppDynamics develops application performance management (APM) solutions that deliver problem resolution for highly distributed applications.,405,"$364,500,000"
Snowflake Computing,https://www.crunchbase.com/organization/snowflake-computing,"Analytics, Cloud Data Services, SaaS","San Mateo, California, United States",Snowflake is the only data warehouse built for the cloud.,448,"$473,000,000"
Docker,https://www.crunchbase.com/organization/docker,"Cloud Computing, Enterprise Software, Open Source, SaaS","San Francisco, California, United States","Docker is a platform for distributed applications that allows developers and sysadmins to build, ship, and run distributed applications.",471,"$242,766,694"
New Relic,https://www.crunchbase.com/organization/new-relic,"Analytics, Application Performance Management, Cloud Computing, IT Infrastructure, Mobile, SaaS, Software","San Francisco, California, United States","New Relic is a leading digital intelligence company, delivering full-stack visibility and analytics to enterprises around the world.",486,"$214,500,000"
Mirantis,https://www.crunchbase.com/organization/mirantis,"Big Data, Cloud Computing, Enterprise Software, IaaS, Open Source","Mountain View, California, United States",Mirantis is the pure-play OpenStack company.,516,"$220,000,000"
Big Switch Networks,https://www.crunchbase.com/organization/big-switch-networks,"Data Center, Network Security, Software","Santa Clara, California, United States","Big Switch Networks is the Next-Generation Data Center Networking Company, designing intelligent, agile and flexible networks",521,"$119,500,000"
CircleCI,https://www.crunchbase.com/organization/circle-ci,"Developer Tools, PaaS, Software, Test and Measurement, Web Development","San Francisco, California, United States","CircleCI provides software teams the confidence to build, test, and deploy across numerous platforms.",568,"$59,000,000"
"NodeSource, Inc.",https://www.crunchbase.com/organization/nodesource,"Application Performance Management, Cloud Infrastructure, Cloud Security, Enterprise Software, Open Source, Software","San Francisco, California, United States",Building products focused on Node.js security and performance for the Enterprise.,600,"$33,400,000"
GitHub,https://www.crunchbase.com/organization/github,"Developer Tools, Internet, Project Management, Software","San Francisco, California, United States",GitHub is a web-based Git repository hosting service offering distributed revision control and source code management functionality of Git.,669,"$350,000,000"
Splunk,https://www.crunchbase.com/organization/splunk,"Information Technology, Intelligent Systems, Software","San Francisco, California, United States","Splunk provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",677,"$40,900,000"
Cisco,https://www.crunchbase.com/organization/cisco,"Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States","Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.",705,"$2,500,000"
Mesosphere,https://www.crunchbase.com/organization/mesosphere,"Cloud Computing, Cloud Infrastructure, Data Center Automation, Enterprise Software","San Francisco, California, United States",Mesosphere is a novel cloud operating system that treats your datacenter like one big computer.,748,"$122,250,000"
DigitalOcean,https://www.crunchbase.com/organization/digitalocean,"Cloud Computing, Virtualization, Web Hosting","New York, New York, United States",DigitalOcean is an IaaS company that delivers a seamless way for developers and businesses to deploy and scale any application in the cloud.,752,"$305,405,800"
Amazon,https://www.crunchbase.com/organization/amazon,"Crowdsourcing, Delivery, E-Commerce, Internet, Retail, Software","Seattle, Washington, United States","Amazon.com is an international e-commerce website for consumers, sellers, and content creators.",788,"$108,000,000"
Datadog,https://www.crunchbase.com/organization/datadog,"Analytics, Information Technology, SaaS, Software","New York, New York, United States",Datadog offers a cloud-scale monitoring service.,808,"$147,900,000"
Elastic,https://www.crunchbase.com/organization/elasticsearch,"Cloud Computing, Open Source, Real Time, Search Engine, Software","Mountain View, California, United States","Elastic builds software to make data usable in real time and at scale for search, logging, security, and analytics use cases.",907,"$104,000,000"
MariaDB,https://www.crunchbase.com/organization/mariadb-2,"Database, Enterprise Software, Software, Technical Support","Espoo, Southern Finland, Finland","MariaDB Corporation is the company behind MariaDB, the fastest growing Open Source database.",908,"$98,175,561"
Buddybuild,https://www.crunchbase.com/organization/buddybuild,"Developer Tools, Mobile, Software","Vancouver, British Columbia, Canada",Buddybuild is a Vancouver-based app tools company focused on continuous integration and debugging tools.,924,"$8,800,000"
HashiCorp,https://www.crunchbase.com/organization/hashicorp,"Data Center, Enterprise Software, Virtualization","San Francisco, California, United States","HashiCorp enables organizations to provision, secure, and run any infrastructure for any application.",949,"$74,175,000"
Redis Labs,https://www.crunchbase.com/organization/redis-labs,"Big Data, Cloud Data Services, Enterprise Software, Open Source","Mountain View, California, United States","Redis Labs is the open source home and commercial provider of Redis, a database benchmarked as the world’s fastest.",957,"$86,000,000"
Couchbase,https://www.crunchbase.com/organization/couchbase,"Analytics, Big Data, Enterprise Software, Mobile","Mountain View, California, United States","Couchbase is a NoSQL vendor that develops Couchbase Server, an open-source, NoSQL, document-oriented database.",969,"$146,000,000"
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,"Cloud Computing, Database, Open Source, PaaS","New York, New York, United States",MongoDB is a next-generation database that helps businesses transform their industries by harnessing the power of data.,"1,132","$311,000,000"
Instana,https://www.crunchbase.com/organization/instana,"Analytics, Enterprise Software, Machine Learning","San Francisco, California, United States",Instana is an APM solution that automatically monitors dynamic modern apps.,"1,310","$26,000,000"
AppNeta,https://www.crunchbase.com/organization/appneta,"Cloud Computing, Information Technology, SaaS","Boston, Massachusetts, United States","AppNeta is the only app performance monitoring company with solutions for apps you develop, SaaS apps you use & networks that deliver them.","1,431","$63,177,998"
Huawei Technologies,https://www.crunchbase.com/organization/huawei,"Mobile, Security, Web Hosting, Wireless","Plano, Texas, United States","Huawei Technologies provides infrastructure application software and devices with wireline, wireless, and IP technologies.","1,469",
StreamSets,https://www.crunchbase.com/organization/streamsets,"Analytics, Big Data, Software","San Francisco, California, United States",Streamsets delivers performance management software for data flows.,"1,520","$32,500,000"
Twistlock,https://www.crunchbase.com/organization/twistlock,"Cloud Security, Enterprise Software, Information Technology, Security","San Francisco, California, United States",Twistlock is cloud native cybersecurity for the modern enterprise.,"1,528","$30,060,000"
InfluxData,https://www.crunchbase.com/organization/influxdb,"Analytics, Data Visualization, Internet, Internet of Things","San Francisco, California, United States","InfluxData develops the TICK stack, the first open source platform for managing IoT time-series data at scale.","1,537","$24,892,000"
CoreOS,https://www.crunchbase.com/organization/coreos,"Cloud Computing, Linux, Security, Software, Web Hosting","San Francisco, California, United States",CoreOS builds industry-leading infrastructure software to securely run application containers anywhere.,"1,547","$50,000,000"
Joyent,https://www.crunchbase.com/organization/joyent,"Apps, Automotive, Cloud Computing, Enterprise Software, Infrastructure, Open Source, Private Cloud, Software, Web Hosting","San Francisco, California, United States",Joyent is a cloud infrastructure and big data analytics company offering a solution that powers real-time web and mobile applications.,"1,644","$130,999,998"
Portworx,https://www.crunchbase.com/organization/portworx,"Data Center, Infrastructure, Software","Los Altos, California, United States",Portworx is the solution for stateful containers running in production.,"1,736","$28,500,000"
Platform9 Systems,https://www.crunchbase.com/organization/platform9-systems-inc,"Cloud Computing, Enterprise Software, IT Infrastructure","Sunnyvale, California, United States",Platform9 is the open source-as-a-service company making cloud infrastructure easy.,"1,803","$36,500,000"
Logz.io,https://www.crunchbase.com/organization/logz-io,"Analytics, Big Data, Enterprise Software","Tel Aviv, Tel Aviv, Israel","Logz.io is an enterprise-grade ELK as a service with alerts, unlimited scalability, and predictive fault detection.","1,815","$46,900,000"
JFrog,https://www.crunchbase.com/organization/jfrog-ltd,"Developer Tools, Enterprise Software, Web Development","Sunnyvale, California, United States",JFrog provides software developers with a binary repository management solution.,"1,819","$61,500,000"
Cockroach Labs,https://www.crunchbase.com/organization/cockroach-labs,"Database, Enterprise Software, Open Source","New York, New York, United States",Cockroach Labs provides world class open source infrastructure solutions.,"1,846","$53,500,000"
Serverless,https://www.crunchbase.com/organization/serverless,"Consumer Applications, Online Portals, Open Source","San Francisco, California, United States",Serverless offers developers an open source framework powered by AWS Lambda and AWS API Gateway.,"1,999","$3,000,000"
CloudBees,https://www.crunchbase.com/organization/cloudbees,"Cloud Computing, Enterprise Software, Software","San Jose, California, United States","CloudBees offers the CloudBees Jenkins Platform, an enterprise-grade continuous delivery platform powered by Jenkins.","2,025","$51,200,000"
Buoyant,https://www.crunchbase.com/organization/buoyant,"Enterprise Software, Infrastructure","San Francisco, California, United States",Industrial-strength operability for cloud-native applications,"2,086","$13,999,990"
Qubole,https://www.crunchbase.com/organization/qubole,"Analytics, Big Data, Enterprise Software","Santa Clara, California, United States","Qubole delivers a Self-Service Platform for Big Data Analytics built on Amazon, Microsoft, Google and Oracle Clouds.","2,153","$75,000,000"
MemSQL,https://www.crunchbase.com/organization/memsql,"Analytics, Big Data, Database, Enterprise Software, Software","San Francisco, California, United States",A real-time data warehouse you can run everywhere,"2,231","$78,100,000"
LightStep,https://www.crunchbase.com/organization/lightstep,"Internet, Software, Software Engineering","San Francisco, California, United States",LightStep's mission is to cut through the scale and complexity of today's software to help organizations stay in control of their systems.,"2,238","$27,500,000"
Avi Networks,https://www.crunchbase.com/organization/avi-networks-inc,"Analytics, Cloud Data Services, Cloud Infrastructure","Santa Clara, California, United States","Avi Networks is a Silicon Valley startup with proven track record in building virtualization, networking and software solutions.","2,258","$33,000,000"
XebiaLabs,https://www.crunchbase.com/organization/xebialabs,"Developer Tools, Enterprise Software, Software","Boston, Massachusetts, United States",Leading provider of automation for DevOps and Continuous Delivery,"2,287","$21,500,000"
Loom Systems,https://www.crunchbase.com/organization/loom-systems,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Information Technology, IT Management, Machine Learning, Predictive Analytics","San Francisco, California, United States",Predict & Prevent Problems in the Digital Business,"2,298","$6,000,000"
Dynatrace,https://www.crunchbase.com/organization/dynatrace-software,"Enterprise Software, Information Technology, Web Hosting","Waltham, Massachusetts, United States","Dynatrace transform how Web and non-Web business-critical applications are monitored, managed, and optimized throughout their lifecycle.","2,583","$21,900,000"
Attic Labs,https://www.crunchbase.com/organization/attic-labs,"Collaboration, Data Storage, Open Source, Software","San Francisco, California, United States","Attic Labs is working on a new approach to data storage, synchronization, and collaboration.","2,626","$8,100,000"
Catchpoint ,https://www.crunchbase.com/organization/catchpoint-systems,"Analytics, Big Data, Information Technology, Internet, Software","New York, New York, United States",Catchpoint is a leading digital experience intelligence company ,"2,781","$49,765,055"
GitLab Inc,https://www.crunchbase.com/organization/gitlab-com,"Information Technology, Open Source, Software","San Francisco, California, United States",GitLab is a web-based open source Git repository manager with wiki and issue tracking features.,"2,791","$45,620,000"
Wavefront,https://www.crunchbase.com/organization/wavefront,"Analytics, Big Data, Cloud Computing, Cloud Management, Computer, Data Visualization, Software","Palo Alto, California, United States","Wavefront is a hosted platform for ingesting, storing, visualizing and alerting on time series data.","2,820","$65,500,000"
Puppet,https://www.crunchbase.com/organization/puppet-labs,"Application Performance Management, Information Services, Information Technology, Infrastructure, Software","Portland, Oregon, United States",Puppet is an information technology automation software company designed for system administrators.,"2,994","$107,500,000"
Aporeto,https://www.crunchbase.com/organization/aporeto,"Cyber Security, Government, Security","San Jose, California, United States",Cloud Native Security for Containers and Microservices,"3,069","$14,500,000"
Chef,https://www.crunchbase.com/organization/chef,"Cloud Computing, Information Technology, Infrastructure, Software","Seattle, Washington, United States",Chef is an automation platform that transforms infrastructure into code.,"3,174","$105,000,000"
Aqua Security,https://www.crunchbase.com/organization/aquasecurity,"Cloud Security, Cyber Security, Security, Software, Virtualization","Ramat Gan, Tel Aviv, Israel",Aqua Security enables enterprises to secure their virtual container environments from development to production.,"3,253","$38,000,000"
Datera,https://www.crunchbase.com/organization/datera-2,"Cloud Computing, Data Center, Real Time, Software","Mountain View, California, United States",Datera is an application-driven data infrastructure company.,"3,350","$40,000,000"
Sysdig,https://www.crunchbase.com/organization/sysdig,"Cloud Computing, Internet, Open Source, Software","San Francisco, California, United States","The container intelligence company - a unified platform to secure, monitor, and troubleshoot your containerized environment","3,414","$53,000,000"
SnapRoute Inc.,https://www.crunchbase.com/organization/snaproute,"Data Center, Developer APIs, Enterprise, Open Source, Software, Telecommunications","Palo Alto, California, United States",SnapRoute is an open networking stack company.,"3,427","$25,000,000"
Black Duck Software,https://www.crunchbase.com/organization/black-duck-software,"Cyber Security, Open Source, Software","Burlington, Massachusetts, United States","Black Duck secures & manages open source software worldwide, eliminating open source security vulnerabilities & license compliance pain.","3,431","$75,500,000"
BigchainDB,https://www.crunchbase.com/organization/bigchaindb,"Big Data, Bitcoin, Database, Internet, Open Source","Berlin, Berlin, Germany",BigchainDB is a scalable blockchain database,"3,491","$5,370,000"
"NGINX, Inc.",https://www.crunchbase.com/organization/nginx,"Enterprise Software, Infrastructure, IT Infrastructure","San Francisco, California, United States",NGINX offers advanced internet infrastructure software to help companies match the demand for faster web experiences.,"3,518","$41,000,000"
SignalFx,https://www.crunchbase.com/organization/signalfuse,"Apps, Information Technology, Software","San Mateo, California, United States",Advanced monitoring platform for modern applications,"3,533","$28,500,000"
Sonatype,https://www.crunchbase.com/organization/sonatype,"Open Source, Security, Software","Fulton, Maryland, United States","Get precise intelligence about open source components and accelerate software innovation, quality and security.","3,732","$74,707,328"
PubNub,https://www.crunchbase.com/organization/pubnub,"Apps, Cloud Computing, Developer APIs, Internet of Things, Mobile, Real Time, Software, Web Development","San Francisco, California, United States",The PubNub Data Stream Network enables mobile and web developers to build and scale realtime apps.,"3,781","$46,100,000"
Diamanti,https://www.crunchbase.com/organization/diamanti,"Data Center, Infrastructure, Software","San Jose, California, United States",Diamanti is a datacenter infrastructure company founded to solve network and storage challenges in Linux containerized environments.,"4,006","$43,000,000"
Hedvig,https://www.crunchbase.com/organization/hedvig,"Cloud Infrastructure, Computer, Data Storage, Software","Santa Clara, California, United States",Modern storage for the modern business.,"4,019","$52,000,000"
Mashape API Marketplace,https://www.crunchbase.com/organization/mashape,"Cloud Computing, Cloud Data Services, Developer APIs, Enterprise Software","San Francisco, California, United States",Mashape is a provider of application programming interfaces for companies.,"4,031","$26,101,000"
Lightbend,https://www.crunchbase.com/organization/typesafe,"Cloud Computing, Enterprise Applications, Enterprise Software","San Francisco, California, United States",Lightbend (formerly Typesafe) is dedicated to helping developers build Reactive applications on the JVM.,"4,446","$52,000,000"
ScyllaDB,https://www.crunchbase.com/organization/scylladb,"Enterprise Software, Information Services, Information Technology","Herzliya, Tel Aviv, Israel",ScyllaDB produces a NoSQL database compatible with Apache Cassandra at 10x the throughput and jaw dropping low latency.,"4,602","$23,000,000"
Sentry,https://www.crunchbase.com/organization/sentry,"Analytics, Apps, Developer Tools, Real Time, Web Apps","San Francisco, California, United States","Sentry is a real-time crash reporting tool for web, mobile, and games.","4,725","$10,500,000"
"Minio, Inc.",https://www.crunchbase.com/organization/minio-inc,"Cloud Storage, Data Center, Internet, Open Source, Software","Palo Alto, California, United States",Minio is an open source object storage server.,"4,812","$23,300,000"
StackRox,https://www.crunchbase.com/organization/stackrox,"Cloud Computing, Enterprise Software, Security","Mountain View, California, United States",StackRox delivers the industry's only adaptive threat protection for containers.,"4,843","$14,000,000"
Springpath Inc,https://www.crunchbase.com/organization/springpath-inc,"Data Center, Enterprise Software, Information Technology, Software, Virtualization","Sunnyvale, California, United States",Springpath is hyperconvergence software that turns standard servers of choice into a single pool of compute and storage resources.,"4,907","$34,000,000"
Atomist,https://www.crunchbase.com/organization/atomist,"Software, Web Development","San Francisco, California, United States","Atomist make microservice applications Easy and fun to build, through a cloud-based service.","4,974","$22,000,000"
Rancher Labs,https://www.crunchbase.com/organization/rancher-labs,"Cloud Computing, Information Technology, Software","Cupertino, California, United States",Rancher Labs is a newly-formed startup developing the next generation of cloud software.,"5,015","$30,000,000"
Robin Systems,https://www.crunchbase.com/organization/robin-systems,"Data Center, Enterprise Software, Information Technology","San Jose, California, United States",Data-Centric Compute and Storage Containerization Infrastructure Software,"5,051","$21,700,000"
Apprenda,https://www.crunchbase.com/organization/apprenda,"Cloud Computing, Enterprise Software, PaaS, SaaS","Troy, New York, United States",Apprenda is the leading enterprise Platform as a Service.,"5,107","$56,000,000"
Shippable,https://www.crunchbase.com/organization/shippable,"Developer Tools, PaaS, SaaS, Software","Seattle, Washington, United States",Shippable helps companies ship code faster by giving them a powerful continuous integration platform built natively on Docker.,"5,216","$10,050,000"
Firebase,https://www.crunchbase.com/organization/firebase,"Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time","San Francisco, California, United States","Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.","5,337","$7,000,000"
Weaveworks,https://www.crunchbase.com/organization/weaveworks,"Cloud Computing, Data Center, Developer Platform, Enterprise Software, Open Source","London, England, United Kingdom",Weaveworks provides a simple and consistent way to connect and manage containers and microservices,"5,353","$20,000,000"
"Aviatrix Systems, Inc.",https://www.crunchbase.com/organization/aviatrix,"Enterprise Software, Information Technology","Palo Alto, California, United States",The company develops software that enables enterprises to build hybrid clouds by easily,"5,359","$25,000,000"
Codeship,https://www.crunchbase.com/organization/codeship,"B2B, Cloud Computing, Developer Tools, IaaS, SaaS, Software, Test and Measurement, Web Development","Boston, Massachusetts, United States",Bringing Continuous Deployment to everyone The - Codeship runs your hosted tests and automated deployments.,"5,416","$11,400,000"
VMware,https://www.crunchbase.com/organization/vmware,"Cloud Infrastructure, Cloud Management, Enterprise Software","Palo Alto, California, United States",VMware is a software company providing cloud and virtualization services.,"5,559","$393,500,000"
NeuVector,https://www.crunchbase.com/organization/neuvector,"Computer, Network Security","Milpitas, California, United States",NeuVector delivers a layer 7 application and network container firewall and security solution,"5,791","$7,000,000"
IBM,https://www.crunchbase.com/organization/ibm,"Collaboration, Consulting, CRM, Enterprise Software, Information Services, Information Technology","Armonk, New York, United States","IBM is an IT technology and consulting firm providing computer hardware, software, and infrastructure and hosting services.","6,083",
Codefresh,https://www.crunchbase.com/organization/code-fresh,"Apps, Web Development","Mountain View, California, United States",Codefresh is a continuous delivery and collaboration platform for containers and microservices.,"6,200","$7,000,000"
Remind,https://www.crunchbase.com/organization/remind,"Collaboration, Education, Messaging, Mobile","San Francisco, California, United States",Remind is a communication platform that helps every student succeed.,"6,237","$59,500,000"
Iron.io,https://www.crunchbase.com/organization/iron-io,"Cloud Computing, Enterprise Software, Infrastructure","San Francisco, California, United States",Iron.io is a scalable cloud-based message queue and processing platform for building distributed cloud applications.,"6,349","$17,000,000"
Crate.io Inc.,https://www.crunchbase.com/organization/crate-technology,"Analytics, Big Data, Cloud Computing","San Francisco, California, United States",Crate.io creates an open source SQL database with integrated search for storing and analyzing IoT and machine data in real time.,"6,812","€6,000,000"
Packet Host,https://www.crunchbase.com/organization/packet-host,"Cloud Infrastructure, Developer Platform, Information Services, Information Technology, Web Hosting","New York, New York, United States","Packet is a bare metal cloud built for developers. 8 minute deploys, no hypervisor, & full automation support from 15 global data centers.","6,813","$11,567,845"
Heroku,https://www.crunchbase.com/organization/heroku,"Enterprise Software, Venture Capital, Web Development","San Francisco, California, United States","Heroku is a multi-language cloud application platform that enables developers to deploy, scale, and manage their applications.","6,912","$13,020,000"
Rocana,https://www.crunchbase.com/organization/rocana,"Big Data, Business Intelligence, Information Technology","San Francisco, California, United States","Rocana is a San Francisco, CA-based provider of root cause analysis software company","7,128","$19,400,000"
Wercker,https://www.crunchbase.com/organization/wercker,"Cloud Computing, Enterprise Software, SaaS, Software","Amsterdam, Noord-Holland, The Netherlands","Wercker is a platform and tool to rapidly develop, build, and deploy containerized applications and microservices for the modern cloud.","8,016","$7,900,000"
Pusher,https://www.crunchbase.com/organization/pusher,"Cloud Computing, Enterprise Software, Real Time","London, England, United Kingdom","Pusher is a cloud-based tech platform enabling developers to create collaborative tools, multiplayer games, chat and real-time dashboards.","8,452","$3,500,000"
Midokura,https://www.crunchbase.com/organization/midokura,"Cloud Computing, Cloud Management, Network Security, Open Source, Software, Virtualization","Tokyo, Tokyo, Japan",Midokura is a cloud networking technology platform.,"8,611","$38,647,418"
Apcera,https://www.crunchbase.com/organization/apcera,"Cloud Computing, Cloud Infrastructure, Cloud Security, Enterprise Software, Software","San Francisco, California, United States",The Apcera cloud platform helps enterprises innovate at speed with full confidence and trust.,"8,984","$7,200,000"
OpsClarity Inc.,https://www.crunchbase.com/organization/opsclarity,"Big Data, Cloud Infrastructure, Information Technology","Sunnyvale, California, United States",Intelligent Monitoring for Modern Applications and Data Infrastructure,"9,080","$21,230,740"
PLUMgrid,https://www.crunchbase.com/organization/plumgrid,"Enterprise Software, Infrastructure, Web Hosting","Santa Clara, California, United States",PLUMgrid is involved in virtual networking and SDN/NFV to deliver cloud infrastructure solutions that transform businesses.,"9,236","$48,006,848"
Intel,https://www.crunchbase.com/organization/intel,"Hardware, Manufacturing, Product Design, Semiconductor","Santa Clara, California, United States","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.","9,708","$2,510,000"
Platform.sh,https://www.crunchbase.com/organization/commerce-guys,"Cloud Management, E-Commerce, Internet, Open Source, PaaS, Software","Paris, Ile-de-France, France","Platform.sh is an automated, continuous-deployment high-availability cloud hosting solution","9,885","$13,300,000"
PingCAP,https://www.crunchbase.com/organization/pingcap,"Big Data, Database, Open Source, Software","Beijing, Beijing, China","PingCAP is the team behind TiDB, an open source distributed Hybrid Transactional/Analytical Processing (HTAP) database.","10,304","$21,600,000"
Amazon Web Services,https://www.crunchbase.com/organization/amazon-web-services,"Information Services, Information Technology, Software, Web Development","Seattle, Washington, United States",Amazon Web Services provides information technology infrastructure services to businesses in the form of web services.,"10,522",
Containership,https://www.crunchbase.com/organization/containership,"Cloud Computing, Cloud Infrastructure, Cloud Management, Data Center Automation, Developer Platform, Web Hosting","Pittsburgh, Pennsylvania, United States",Containership is a Kubernetes based enterprise Containers-as-a-Service platform with support for 12 cloud providers,"10,730","$2,606,729"
Ansible,https://www.crunchbase.com/organization/ansible,"Cloud Computing, Enterprise Applications, Enterprise Software, Software","Santa Barbara, California, United States",Ansible is an automation engine that makes systems and applications simple to deploy.,"11,426","$6,000,000"
RethinkDB,https://www.crunchbase.com/organization/rethinkdb,"Database, Enterprise Software, Open Source, Real Time","Mountain View, California, United States",RethinkDB is an open-source distributed NoSQL database storing JSON documents and scaling data for applications.,"11,464","$12,200,000"
StorageOS,https://www.crunchbase.com/organization/storageos,"Cloud Computing, Data Storage, Database, Enterprise Software, Software","London, England, United Kingdom",Persistent storage for containers and the cloud,"12,176","$2,000,000"
SaltStack,https://www.crunchbase.com/organization/saltstack,"Apps, Automotive, Cloud Management, Enterprise Software, Infrastructure, Open Source","Lehi, Utah, United States",SaltStack intelligent orchestration software helps enterprise IT ops & DevOps teams configure & manage the software-defined datacenter.,"12,330","$685,000"
"Anchore, Inc.",https://www.crunchbase.com/organization/anchore-inc,"Computer, Enterprise Software, Information Technology, SaaS","Santa Barbara, California, United States","Discover, analyze, and certify containers on your own terms.","13,085","$7,000,000"
Graylog,https://www.crunchbase.com/organization/graylog,"Analytics, Enterprise Software, Open Source, Software","Houston, Texas, United States","Graylog is a fully integrated platform for collecting, indexing, and analyzing.","13,210","$4,400,000"
Librato,https://www.crunchbase.com/organization/librato,"Cloud Computing, SaaS, Software","San Francisco, California, United States",Real time operations analytics for metrics from any source,"13,322","$5,050,000"
Stackdriver,https://www.crunchbase.com/organization/stackdriver,"Apps, Cloud Computing, Enterprise Software, Infrastructure","Boston, Massachusetts, United States",Stackdriver provides monitoring services for cloud-powered applications.,"13,387","$15,000,000"
Giant Swarm,https://www.crunchbase.com/organization/giant-swarm,"Cloud Computing, Information Technology","Cologne, Nordrhein-Westfalen, Germany",Managed Kubernetes Anywhere,"13,626","$3,325,000"
3scale,https://www.crunchbase.com/organization/3scale,"Developer APIs, Enterprise Software, Infrastructure, Software","San Francisco, California, United States","3scale’s API management platform empowers API providers to easily package, distribute, manage and monetize APIs.","14,135","$5,000,000"
Cloud 66,https://www.crunchbase.com/organization/cloudblocks,"IaaS, PaaS, SaaS, Software","London, England, United Kingdom","Ops tools for Devs. Build, manage and maintain applications on any cloud","14,602","$2,240,385"
Fujitsu,https://www.crunchbase.com/organization/fujitsu,"Cloud Computing, Cloud Infrastructure, Enterprise Software, IT Infrastructure","North Sydney, New South Wales, Australia",Fujitsu provides information technology and communications solutions.,"14,952",
Netsil,https://www.crunchbase.com/organization/netsil,Software,"San Francisco, California, United States",Observability and Monitoring for Modern Cloud Applications,"15,129","$150,000"
Opbeat,https://www.crunchbase.com/organization/opbeat,Software,"San Francisco, California, United States",APM for JavaScript,"15,146","$2,800,000"
Distelli,https://www.crunchbase.com/organization/distelli-inc,"Cloud Computing, Cloud Infrastructure, Developer Tools, Enterprise Software, SaaS","Seattle, Washington, United States",True Continuous Delivery from Source Control to Servers.,"15,410","$2,875,000"
CoScale,https://www.crunchbase.com/organization/co-scale,"Enterprise Software, Information Services, Information Technology","Gent, Oost-Vlaanderen, Belgium",Full stack performance monitoring. Built for container and microservices applications. Powered by anomaly detection.,"15,425","€3,000,000"
